zeit,temperatur,luftfeuchte,puls
2026-03-19 11:06:45,20.6,45.0,73
2026-03-19 11:06:46,20.9,46.2,74
2026-03-19 11:06:47,21.3,46.7,76
2026-03-19 11:06:48,21.5,47.0,78
2026-03-19 11:06:49,21.6,46.1,80
2026-03-19 11:06:50,21.5,45.2,78
2026-03-19 11:06:51,21.7,45.2,79
2026-03-19 11:06:52,21.4,45.8,81
2026-03-19 11:06:53,21.1,45.0,80
2026-03-19 11:06:54,21.2,44.4,81
2026-03-19 11:06:55,21.5,44.6,80
2026-03-19 11:06:56,21.2,44.7,81
2026-03-19 11:06:57,21.1,44.8,79
2026-03-19 11:06:58,21.5,43.7,77
2026-03-19 11:06:59,21.5,44.7,79
2026-03-19 11:07:00,21.2,44.2,77
2026-03-19 11:07:01,21.2,45.1,76
2026-03-19 11:07:02,21.5,46.0,74
2026-03-19 11:07:03,21.3,44.9,76
2026-03-19 11:07:04,21.3,44.2,74
2026-03-19 11:07:05,21.3,43.2,72
2026-03-19 11:07:06,21.7,43.0,74
2026-03-19 11:07:07,21.5,42.4,72
2026-03-19 11:07:08,21.9,42.6,72
2026-03-19 11:07:09,22.1,43.5,73
2026-03-19 11:07:10,21.9,44.3,74
2026-03-19 11:07:11,22.2,45.5,75
2026-03-19 11:07:12,22.3,45.5,76
2026-03-19 11:07:13,22.6,46.5,77
2026-03-19 11:07:14,22.2,47.0,76
2026-03-19 11:07:15,22.1,47.0,78
2026-03-19 11:07:17,22.2,46.9,76
2026-03-19 11:07:18,21.8,46.9,75
2026-03-19 11:07:19,21.5,46.3,77
2026-03-19 11:07:20,21.8,46.1,76
2026-03-19 11:07:21,22.1,46.3,78
2026-03-19 11:07:22,21.8,45.9,76
2026-03-19 11:07:23,21.7,45.5,76
2026-03-19 11:07:24,21.4,46.1,77
2026-03-19 11:07:25,21.1,45.2,75
2026-03-19 11:07:26,20.9,44.6,75
2026-03-19 11:07:27,20.6,43.5,75
2026-03-19 11:07:28,20.6,44.7,74
2026-03-19 11:07:29,20.8,44.3,76
2026-03-19 11:07:30,20.4,44.6,74
2026-03-19 11:07:31,20.2,43.9,73
2026-03-19 11:07:32,19.9,44.5,71
2026-03-19 11:07:33,19.6,44.2,69
2026-03-19 11:07:34,19.9,45.3,71
2026-03-19 11:07:35,20.1,45.3,73
2026-03-19 11:07:36,19.8,46.1,72
2026-03-19 11:07:37,19.7,47.3,72
2026-03-19 11:07:38,19.9,46.9,74
2026-03-19 11:07:39,19.5,48.1,76
2026-03-19 11:07:40,19.2,48.1,76
2026-03-19 11:07:41,18.9,48.7,78
2026-03-19 11:07:42,19.0,48.6,76
2026-03-19 11:07:43,19.0,47.5,78
2026-03-19 11:07:44,19.2,47.6,77
2026-03-19 11:07:45,19.2,48.3,79
2026-03-19 11:07:46,19.4,47.4,78
2026-03-19 11:07:47,19.3,46.2,77
2026-03-19 11:07:48,19.4,46.9,77
2026-03-19 11:07:49,19.5,47.3,78
2026-03-19 11:07:50,19.2,47.6,79
2026-03-19 11:07:52,19.1,46.5,79
2026-03-19 11:07:53,18.8,47.2,79
2026-03-19 11:07:54,19.0,47.2,79
2026-03-19 11:07:55,18.7,46.7,77
2026-03-19 11:07:56,18.5,46.1,79
2026-03-19 11:07:57,18.9,46.8,81
2026-03-19 11:07:58,18.5,46.9,82
2026-03-19 11:07:59,18.6,46.2,82
2026-03-19 11:08:00,18.3,46.7,84
2026-03-19 11:08:01,18.6,47.8,85
2026-03-19 11:08:02,18.3,46.6,86
2026-03-19 11:08:03,18.4,45.5,87
2026-03-19 11:08:04,18.3,46.6,87
2026-03-19 11:08:05,18.7,46.6,85
2026-03-19 11:08:07,18.4,47.8,87
2026-03-19 11:08:08,18.5,48.2,89
2026-03-19 11:08:09,18.3,47.4,89
2026-03-19 11:08:10,18.3,46.5,90
2026-03-19 11:08:11,18.6,45.7,91
2026-03-19 11:08:12,18.4,46.7,91
2026-03-19 11:08:13,18.1,46.2,91
2026-03-19 11:08:14,17.9,46.2,93
2026-03-19 11:08:15,17.6,46.2,94
2026-03-19 11:08:16,17.2,45.4,95
2026-03-19 11:08:17,17.1,45.0,96
2026-03-19 11:08:18,17.0,45.8,94
2026-03-19 11:08:19,17.2,44.9,96
2026-03-19 11:08:20,17.1,45.0,94
2026-03-19 11:08:21,17.4,44.8,94
2026-03-19 11:08:22,17.6,45.3,93
2026-03-19 11:08:23,17.5,45.8,95
2026-03-19 11:08:24,17.5,45.7,93
2026-03-19 11:08:25,17.2,44.6,93
2026-03-19 11:08:26,17.2,43.6,95
2026-03-19 11:08:27,17.0,44.2,97
